BP,substrate,BPS,years,temp.dist,BC.dist,jac.dist,beta.sim,beta.sne,beta.sor,beta.jtu,beta.jne,beta.jac
B01P01,dead_bryos,B01P01DM,Y1516,1,0.838145187,0.95761079,0.610619469,0.308049662,0.918669131,0.758241758,0.199369032,0.95761079
B01P02,dead_bryos,B01P02DM,Y1516,1,0.821514105,0.951244813,0.477777778,0.429244972,0.90702275,0.646616541,0.304628272,0.951244813
B01P03,dead_bryos,B01P03DM,Y1516,1,0.802336739,0.88213628,0.668393782,0.120733071,0.789126853,0.801242236,0.080894044,0.88213628
B01P04,dead_bryos,B01P04DM,Y1516,1,0.833990206,0.916770186,0.343137255,0.50319302,0.846330275,0.510948905,0.405821281,0.916770186
B01P08,dead_bryos,B01P08DM,Y1516,1,0.757385887,0.926275992,0.450704225,0.411971831,0.862676056,0.621359223,0.304916769,0.926275992
B01P13,dead_bryos,B01P13DM,Y1516,1,0.611892895,0.801405975,0.536885246,0.131736455,0.668621701,0.698666667,0.102739309,0.801405975
B01P15,dead_bryos,B01P15DM,Y1516,1,0.544820618,0.834951456,0.472049689,0.244616977,0.716666667,0.641350211,0.193601245,0.834951456
B03P01,dead_bryos,B03P01DM,Y1516,1,0.730543132,0.872756933,0.5125,0.261740232,0.774240232,0.67768595,0.195070983,0.872756933
B03P02,dead_bryos,B03P02DM,Y1516,1,0.438615263,0.820618557,0.427631579,0.268172617,0.695804196,0.599078341,0.221540216,0.820618557
B03P14,dead_bryos,B03P14DM,Y1516,1,0.883859826,0.891504606,0.43315508,0.371092381,0.804247461,0.604477612,0.287026994,0.891504606
B03P15,dead_bryos,B03P15DM,Y1516,1,0.781289107,0.85,0.634146341,0.104984093,0.739130435,0.776119403,0.073880597,0.85
B03P20,dead_bryos,B03P20DM,Y1516,1,0.668065084,0.873684211,0.342465753,0.433235181,0.775700935,0.510204082,0.363480129,0.873684211
B03P24,dead_bryos,B03P24DM,Y1516,1,0.640688888,0.75,0.576323988,0.023676012,0.6,0.731225296,0.018774704,0.75
B03P26,dead_bryos,B03P26DM,Y1516,1,0.829589613,0.858630952,0.505208333,0.247073283,0.752281617,0.671280277,0.187350676,0.858630952
B03P27,dead_bryos,B03P27DM,Y1516,1,0.757957653,0.812824957,0.511312217,0.173359316,0.684671533,0.676646707,0.13617825,0.812824957
B04P01,dead_bryos,B04P01DM,Y1516,1,0.71547442,0.900952381,0.402298851,0.417458515,0.819757366,0.573770492,0.327181889,0.900952381
B04P04,dead_bryos,B04P04DM,Y1516,1,0.63790281,0.882352941,0.717948718,0.071524966,0.789473684,0.835820896,0.046532046,0.882352941
B04P13,dead_bryos,B04P13DM,Y1516,1,0.801798003,0.94,0.58,0.306792453,0.886792453,0.734177215,0.205822785,0.94
B04P20,dead_bryos,B04P20DM,Y1516,1,0.961877029,0.877862595,0.655913978,0.126398947,0.782312925,0.792207792,0.085654803,0.877862595
B04P24,dead_bryos,B04P24DM,Y1516,1,0.61466316,0.898638427,0.309278351,0.506655715,0.815934066,0.472440945,0.426197482,0.898638427
B04P25,dead_bryos,B04P25DM,Y1516,1,0.916219598,0.933920705,0.659090909,0.216942149,0.876033058,0.794520548,0.139400157,0.933920705
B04P26,dead_bryos,B04P26DM,Y1516,1,0.610107572,0.948575949,0.403669725,0.498512367,0.902182092,0.575163399,0.373412551,0.948575949
B05P01,dead_bryos,B05P01DM,Y1516,1,0.72695037,0.97621226,0.48,0.473529937,0.953529937,0.648648649,0.327563611,0.97621226
B05P02,dead_bryos,B05P02DM,Y1516,1,0.742047025,0.9,0.472527473,0.345654346,0.818181818,0.641791045,0.258208955,0.9
B05P03,dead_bryos,B05P03DM,Y1516,1,0.641673626,0.8075,0.37398374,0.303165107,0.677148847,0.544378698,0.263121302,0.8075
B05P04,dead_bryos,B05P04DM,Y1516,1,0.45693096,0.886996904,0.215053763,0.581886431,0.796940195,0.353982301,0.533014603,0.886996904
B05P08,dead_bryos,B05P08DM,Y1516,1,0.727415854,0.877708978,0.341666667,0.440402299,0.782068966,0.50931677,0.368392208,0.877708978
B05P13,dead_bryos,B05P13DM,Y1516,1,0.82657723,0.890995261,0.651515152,0.151903652,0.803418803,0.788990826,0.102004435,0.890995261
