,sample,substrate,year,branch,point,BP,BPS,YBP,YS,old_name
Y15B01P01DM,Y15B01P01DM,dead_bryos,Y15,B01,P01,B01P01,B01P01DM,Y15B01P01,Y15DM,15B01P01DMOS1
Y15B01P01LM,Y15B01P01LM,live_bryos,Y15,B01,P01,B01P01,B01P01LM,Y15B01P01,Y15LM,15B01P01LMOS163
Y15B01P02BK,Y15B01P02BK,outer_bark,Y15,B01,P02,B01P02,B01P02BK,Y15B01P02,Y15BK,15B01P02BRKS51
Y15B01P02DM,Y15B01P02DM,dead_bryos,Y15,B01,P02,B01P02,B01P02DM,Y15B01P02,Y15DM,15B01P02DMOS2
Y15B01P02LM,Y15B01P02LM,live_bryos,Y15,B01,P02,B01P02,B01P02LM,Y15B01P02,Y15LM,15B01P02LMOS162
Y15B01P03BK,Y15B01P03BK,outer_bark,Y15,B01,P03,B01P03,B01P03BK,Y15B01P03,Y15BK,15B01P03BRKS52
Y15B01P03DM,Y15B01P03DM,dead_bryos,Y15,B01,P03,B01P03,B01P03DM,Y15B01P03,Y15DM,15B01P03DMOS128
Y15B01P03LM,Y15B01P03LM,live_bryos,Y15,B01,P03,B01P03,B01P03LM,Y15B01P03,Y15LM,15B01P03LMOS161
Y15B01P04BK,Y15B01P04BK,outer_bark,Y15,B01,P04,B01P04,B01P04BK,Y15B01P04,Y15BK,15B01P04BRKS53
Y15B01P04DM,Y15B01P04DM,dead_bryos,Y15,B01,P04,B01P04,B01P04DM,Y15B01P04,Y15DM,15B01P04DMOS4
Y15B01P04LM,Y15B01P04LM,live_bryos,Y15,B01,P04,B01P04,B01P04LM,Y15B01P04,Y15LM,15B01P04LMOS150
Y15B01P08DM,Y15B01P08DM,dead_bryos,Y15,B01,P08,B01P08,B01P08DM,Y15B01P08,Y15DM,15B01P08DMOS8
Y15B01P08LM,Y15B01P08LM,live_bryos,Y15,B01,P08,B01P08,B01P08LM,Y15B01P08,Y15LM,15B01P08LMOS156
Y15B01P08WD,Y15B01P08WD,inner_bark,Y15,B01,P08,B01P08,B01P08WD,Y15B01P08,Y15WD,15B01P08MSCS189
Y15B01P13DM,Y15B01P13DM,dead_bryos,Y15,B01,P13,B01P13,B01P13DM,Y15B01P13,Y15DM,15B01P13DMOS13
Y15B01P13LM,Y15B01P13LM,live_bryos,Y15,B01,P13,B01P13,B01P13LM,Y15B01P13,Y15LM,15B01P13LMOS151
Y15B01P13WD,Y15B01P13WD,inner_bark,Y15,B01,P13,B01P13,B01P13WD,Y15B01P13,Y15WD,15B01P12MSCS1
Y15B01P14BK,Y15B01P14BK,outer_bark,Y15,B01,P14,B01P14,B01P14BK,Y15B01P14,Y15BK,15B01P14BRKS63
Y15B01P14LM,Y15B01P14LM,live_bryos,Y15,B01,P14,B01P14,B01P14LM,Y15B01P14,Y15LM,15B01P14LMOS150
Y15B01P15BK,Y15B01P15BK,outer_bark,Y15,B01,P15,B01P15,B01P15BK,Y15B01P15,Y15BK,15B01P15BRKS64
Y15B01P15DM,Y15B01P15DM,dead_bryos,Y15,B01,P15,B01P15,B01P15DM,Y15B01P15,Y15DM,15B01P15DMOS15
Y15B01P15LM,Y15B01P15LM,live_bryos,Y15,B01,P15,B01P15,B01P15LM,Y15B01P15,Y15LM,15B01P15LMOS149
Y15B02P01BK,Y15B02P01BK,outer_bark,Y15,B02,P01,B02P01,B02P01BK,Y15B02P01,Y15BK,15B02P01BRKS77
Y15B02P01DM,Y15B02P01DM,dead_bryos,Y15,B02,P01,B02P01,B02P01DM,Y15B02P01,Y15DM,15B02P01DMOS134
