,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu7133,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,
Otu10056,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,
Otu11314,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,
Otu10618,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Teratosphaeria,
Otu11288,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,
Otu11468,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amorosiaceae,Angustimassarina,
Otu10221,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliales_fam_Incertae_sedis,Vermispora,
Otu10296,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Microbotryomycetes_fam_Incertae_sedis,Colacogloea,
Otu11002,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,
Otu11432,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiales_fam_Incertae_sedis,Eriosporella,
Otu10245,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Pannariaceae,Pectenia,
Otu11091,Fungi,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,
Otu11136,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,
Otu10174,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Flavodon,
Otu11340,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Arbusculina,
Otu10601,Fungi,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,Neopestalotiopsis,
Otu10996,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,
Otu10715,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,
Otu11108,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Tubeufia,
Otu10857,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Schizoporaceae,Xylodon,
Otu11362,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Polyscytalum,
Otu10514,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleomassariaceae,Prosthemium,
Otu11321,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,unidentified,
Otu10956,Fungi,Ascomycota,Dothideomycetes,Hysteriales,unidentified,unidentified,
Otu10730,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Heterodermia,
Otu10486,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,
Otu10370,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,unidentified,
Otu11287,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,
Otu11431,Fungi,Basidiomycota,Pucciniomycetes,Septobasidiales,Septobasidiaceae,Septobasidium,
Otu10412,Fungi,Basidiomycota,Pucciniomycetes,Platygloeales,Eocronartiaceae,Eocronartium,
Otu10808,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,
Otu10438,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Microcera,
Otu11439,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,unidentified,
Otu10163,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,
Otu11306,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Biatriosporaceae,Biatriospora,Biatriospora_mackinnonii
Otu10942,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Ophioceras,Ophioceras_leptosporum
Otu11410,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,unidentified,unidentified
Otu10443,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Morosphaeriaceae,Acrocalymma,Acrocalymma_walkeri
Otu10919,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_spinulosum
Otu11054,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_polychromum
Otu10557,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Roussoella,Roussoella_hysterioides
Otu10112,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium,Botryobasidium_intertextum
Otu10468,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,Absconditella_rubra
Otu11388,Fungi,Basidiomycota,Agaricomycetes,Tremellodendropsidales,unidentified,unidentified,unidentified
Otu10473,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Dinemasporium,Dinemasporium_ambiguum
Otu10839,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Ganoderma_resinaceum
